,DynamicCRP
2015-06-19,0.9975
2015-06-24,0.9953534894374338
2015-06-29,0.9661038108881181
2015-07-02,0.9763282614013762
2015-07-08,0.9560767746742873
2015-07-13,0.980634602504666
2015-07-16,1.0234917593320865
2015-07-21,1.0504416138513886
2015-07-24,1.1395999983713159
2015-07-29,1.1386959297692307
2015-08-03,1.1516757718420254
2015-08-06,1.1396861001429432
2015-08-11,1.1297041065037772
2015-08-14,1.123974415346519
2015-08-19,1.102326770784597
2015-08-24,0.9930051075663135
2015-08-27,1.0850654555395973
2015-09-01,1.0309416426269833
2015-09-04,1.0309416426269833
2015-09-10,1.028129983601637
2015-09-15,1.0442878173036199
2015-09-18,1.019348552241881
2015-09-23,1.0044657823733174
2015-09-28,0.9397643351647713
2015-10-01,0.9748542481087206
2015-10-06,1.0385807566735428
2015-10-09,1.051487391319572
2015-10-14,1.1035172622364116
2015-10-19,1.1216672172074293
2015-10-22,1.145463824836037
2015-10-27,1.141341768395972
2015-10-30,1.1134257689499234
2015-11-04,1.1401985087209676
2015-11-09,1.1660639995030924
2015-11-12,1.1840488765187238
2015-11-17,1.138657074899598
2015-11-20,1.1800957346279222
2015-11-25,1.1703211283519253
2015-12-01,1.22506832215731
2015-12-04,1.2135586499114288
2015-12-09,1.1761630648474921
2015-12-14,1.1711290437812076
2015-12-17,1.1747247731142678
2015-12-22,1.1840736693802612
2015-12-28,1.1856665774748258
2015-12-31,1.1924344095298802
2016-01-06,1.1604672028017515
2016-01-11,1.1241298354290206
2016-01-14,1.1241298354290206
2016-01-20,1.1241298354290206
2016-01-25,1.1241298354290206
2016-01-28,1.1215728178402147
2016-02-02,0.9829764570287705
2016-02-05,0.9277665642498435
2016-02-10,0.9264369101055108
2016-02-16,0.9523095420003254
2016-02-19,0.938941302996862
2016-02-24,0.9815082871668894
2016-02-29,0.9708665411243668
2016-03-03,1.0108033344295586
2016-03-08,0.9829404553794413
2016-03-11,0.9925036146445323
2016-03-16,0.9843371749094715
2016-03-21,1.006838047333459
2016-03-24,0.9791214692602782
2016-03-30,0.9481226258317594
2016-04-04,0.9491831656816871
2016-04-07,0.9393731720698909
2016-04-12,0.9454924870039564
2016-04-15,0.9762014377828004
2016-04-20,0.9535316373591902
2016-04-25,0.9525115992362113
2016-04-28,0.9543476678575693
2016-05-03,0.9260041752225125
2016-05-06,0.9296319398963421
2016-05-11,0.9838139157092781
2016-05-16,0.9756118313084559
2016-05-19,1.0044240034187488
2016-05-24,1.0488216201025817
2016-05-27,1.0613075917704844
2016-06-02,1.089979082267119
2016-06-07,1.0712501247652761
2016-06-10,1.0629030214835882
2016-06-15,1.0433949028261815
2016-06-20,1.0478011313009448
2016-06-23,1.0629486432401076
2016-06-28,0.9833736906837219
2016-07-01,0.9806917624364028
2016-07-07,0.9941669164240545
2016-07-12,1.0410394909505467
2016-07-15,1.039067825247973
2016-07-20,1.069037143926855
2016-07-25,1.0978234631842005
2016-07-28,1.107681791696988
2016-08-02,1.09939685241485
2016-08-05,1.1313683276476443
2016-08-10,1.1317075437527657
2016-08-15,1.1443414127100302
2016-08-18,1.1313986367167488
2016-08-23,1.1482511928997279
2016-08-26,1.1321891828893513
2016-08-31,1.114478173829023
2016-09-06,1.0955089777829274
2016-09-09,1.0586967877536513
2016-09-14,1.0505362399495177
2016-09-19,1.0675485920503545
2016-09-22,1.0719370269652178
2016-09-27,1.059746790842519
2016-09-30,1.0773737383173028
2016-10-05,1.0728139253559452
2016-10-10,1.0497711464081347
2016-10-13,1.0342685916685532
2016-10-18,1.0146649688982052
2016-10-21,1.0266777405242686
2016-10-26,1.0306119232318005
2016-10-31,1.00354614501015
2016-11-03,0.9536255063914535
2016-11-08,0.9710168105754635
2016-11-11,1.200398381482912
2016-11-16,1.250341067355674
2016-11-21,1.2687625498497304
2016-11-25,1.2867785286971165
2016-11-30,1.2599934191363018
2016-12-05,1.2493422383242152
2016-12-08,1.287692293075768
2016-12-13,1.2488255185394321
2016-12-16,1.2514775783947525
2016-12-21,1.2717547860385685
2016-12-27,1.4098296465844726
2016-12-30,1.2826902188580487
2017-01-05,1.2226054231461867
2017-01-10,1.2787217059984668
2017-01-13,1.244696043427151
2017-01-19,1.226196052744243
2017-01-24,1.2449879385444502
2017-01-27,1.2588407075899868
2017-02-01,1.276976596016224
2017-02-06,1.2857894702250217
2017-02-09,1.2692181199562287
2017-02-14,1.29413857843598
2017-02-17,1.3008479326420854
2017-02-23,1.302068555868018
2017-02-28,1.268146283993776
2017-03-03,1.2818670033734298
2017-03-08,1.2787710461800277
2017-03-13,1.259843489702559
2017-03-16,1.2475233391396208
2017-03-21,1.2727598193649203
2017-03-24,1.2915069189609567
2017-03-29,1.289944660661257
2017-04-03,1.3024427270584942
2017-04-06,1.2048160041753582
2017-04-11,1.2102882948831946
2017-04-17,1.2097920332258663
2017-04-20,1.2098859205664416
2017-04-25,1.2112565416140735
2017-04-28,1.2170556343514447
2017-05-03,1.2112804754510906
2017-05-08,1.188113937552022
2017-05-11,1.194381432708818
2017-05-16,1.2917258799122096
2017-05-19,1.2853999071065232
2017-05-24,1.3096901847628433
2017-05-30,1.3692344451655785
2017-06-02,1.357609137182167
2017-06-07,1.4094031922627221
2017-06-12,1.417436941682132
2017-06-15,1.4401204694545886
2017-06-20,1.4847314074070461
2017-06-23,1.4492831969541413
2017-06-28,1.404180051957803
2017-07-03,1.4555113321000495
2017-07-07,1.4715285946838466
2017-07-12,1.5001278484996377
2017-07-17,1.4879457600981987
2017-07-20,1.5063518910508835
2017-07-25,1.4871942033990113
2017-07-28,1.4711669538631835
2017-08-02,1.4509229355980806
2017-08-07,1.464825454165694
2017-08-10,1.4286138671227284
2017-08-15,1.4672001829257315
2017-08-18,1.439111001349476
2017-08-23,1.4544624324184743
2017-08-28,1.476698925375641
2017-08-31,1.503410687355634
2017-09-06,1.4871878371478897
2017-09-11,1.5050889132391938
2017-09-14,1.4992333034271397
2017-09-19,1.5224060747576462
2017-09-22,1.4472812060032592
2017-09-27,1.4372535115631417
2017-10-02,1.451452778158479
2017-10-05,1.442112665139487
2017-10-10,1.4246690440353953
2017-10-13,1.4577728874751699
2017-10-18,1.4455732183355192
2017-10-23,1.4385494796494067
2017-10-26,1.4317452327972353
2017-10-31,1.5131035392447043
